feature,importance,importance_pct
oc_range,0.05699639712387165,5.699639712387166
price_position_5,0.05321063498952462,5.321063498952462
returns,0.04462764831264751,4.462764831264751
price_vs_ma5,0.0439146832434085,4.39146832434085
hl_range,0.0429340853906962,4.29340853906962
price_vs_ma10,0.02653656206387368,2.653656206387368
volatility_5,0.022270458748185264,2.2270458748185264
return_lag_1,0.019560637657215565,1.9560637657215565
return_mean_5,0.01950394036938255,1.9503940369382549
return_std_5,0.01942258151091189,1.9422581510911892
return_std_10,0.019251650595271314,1.9251650595271315
volatility_10,0.01826591701538109,1.8265917015381088
hl_volatility_5,0.017904156640989325,1.7904156640989326
hl_volatility_10,0.01787988268877087,1.787988268877087
price_position_20,0.017848758305563064,1.7848758305563064
price_vs_ma20,0.0175373340710628,1.75373340710628
volatility_20,0.01698890409504502,1.6988904095045019
hl_volatility_50,0.016397018566780518,1.6397018566780517
volatility_50,0.016232459355572347,1.6232459355572346
momentum_5,0.016156999161871476,1.6156999161871477
trend_10,0.015818618374791236,1.5818618374791236
return_lag_2,0.015755613804390976,1.5755613804390975
hl_volatility_20,0.01536372765694798,1.5363727656947979
return_std_20,0.015149068582852256,1.5149068582852256
price_position_50,0.015045089177476642,1.5045089177476643
return_skew_20,0.014944741743983239,1.4944741743983239
macd_diff,0.014736826716304599,1.4736826716304599
return_std_50,0.014651176981470773,1.4651176981470773
overnight_gap,0.014262468608718534,1.4262468608718535
return_skew_50,0.013810632533885203,1.3810632533885203
bb_position,0.013511534557365383,1.3511534557365383
volume_vs_ma10,0.013474227182046723,1.3474227182046723
return_mean_10,0.013409339328745834,1.3409339328745833
volume_vs_ma5,0.01336331953114168,1.336331953114168
momentum_10,0.013252102089450315,1.3252102089450315
return_lag_5,0.01324636713235126,1.324636713235126
volume_vs_ma20,0.013003814403810538,1.3003814403810539
price_vs_ma50,0.01276485267293938,1.276485267293938
bb_width,0.012445786912299459,1.244578691229946
return_lag_3,0.012313641519840126,1.2313641519840126
volume_vs_ma50,0.01212576195018637,1.212576195018637
momentum_50,0.011981163391004574,1.1981163391004575
ma_cross_10_50,0.011895025089567244,1.1895025089567244
macd_signal,0.01154602728560402,1.154602728560402
return_skew_5,0.011477465112893619,1.147746511289362
ma_cross_5_20,0.011304037015606496,1.1304037015606496
return_skew_10,0.011049358804840316,1.1049358804840317
return_mean_50,0.011030801141643136,1.1030801141643136
momentum_20,0.010539126885865622,1.0539126885865622
return_mean_20,0.010163883224685413,1.0163883224685413
rsi_28,0.009998291201994138,0.9998291201994138
macd,0.009545169308571988,0.9545169308571988
trend_50,0.009101805082404517,0.9101805082404516
rsi_14,0.008605766787508127,0.8605766787508127
trend_20,0.008476466037272517,0.8476466037272516
volume_change,0.007969382119152598,0.7969382119152598
stock_id,0.006420855866260504,0.6420855866260504
volume_lag_2,0.006211277989732362,0.6211277989732362
volume_lag_1,0.005942321072397862,0.5942321072397863
volume_lag_3,0.005781540472633223,0.5781540472633223
volume_lag_5,0.005070814743337977,0.5070814743337977
