feature,importance,importance_pct
price_position_5,20.18676964379847,6.075695478819123
hl_range,14.021473869681358,4.220100932423062
returns,13.640406053513288,4.105409377079185
volatility_5,10.685249602422118,3.2159837282055626
volatility_50,9.14732138812542,2.7531071182660742
return_lag_2,8.414444075897336,2.5325300050873345
bb_width,8.159646604210138,2.455842557117172
hl_volatility_20,8.138701893389225,2.449538740950186
return_lag_3,7.949847340583801,2.392698405776162
oc_range,7.942790310829878,2.3905744223688923
return_skew_10,7.876061592251062,2.370490804190723
return_skew_20,7.845541005954146,2.3613048972107005
price_position_50,7.683555584400892,2.3125514755027323
hl_volatility_5,7.652357008308172,2.303161511132164
volatility_20,7.465424634516239,2.246899702118978
return_skew_5,7.2782802022993565,2.1905740690053315
overnight_gap,7.255267919972539,2.1836479672982514
hl_volatility_50,7.135108284652233,2.14748302531228
return_lag_5,6.877711100503802,2.070013131139696
return_lag_1,6.5948399268090725,1.9848762250655085
volume_vs_ma10,6.567119095474482,1.9765329719061098
price_vs_ma5,6.400436732918024,1.926365892454927
volatility_10,6.281120173633099,1.8904546945472234
price_position_20,6.260476294904947,1.8842414210583445
return_skew_50,6.149134013801813,1.850730274607652
volume_vs_ma50,6.105852376669645,1.837703621424408
hl_volatility_10,5.783219717442989,1.7405995367406568
volume_vs_ma20,5.722665028646588,1.7223741418194531
macd_diff,5.6129801124334335,1.6893618193285367
volume_vs_ma5,5.515440480783582,1.6600049133214012
momentum_50,4.93399496935308,1.4850048550003692
volume_lag_5,4.887302026152611,1.4709514869329825
rsi_28,4.713173229247332,1.4185432233644413
volume_change,4.564784789457917,1.3738821414456441
macd_signal,4.56265988945961,1.3732426015122887
rsi_14,4.366523306816816,1.314210563726097
volume_lag_2,4.364632416516542,1.3136414546585726
volume_lag_1,4.33250181004405,1.3039709732531135
ma_cross_5_20,4.04804727062583,1.21835751505408
macd,3.9797762371599674,1.1978096999909464
volume_lag_3,3.8063712045550346,1.1456192707547397
bb_position,3.8037366159260273,1.1448263277279822
momentum_10,3.6381513327360153,1.0949894407872525
momentum_5,3.550378890708089,1.0685722062022325
price_vs_ma10,3.097144614905119,0.9321604132837986
ma_cross_10_50,2.953046688809991,0.8887906650015449
price_vs_ma50,2.941984497010708,0.8854612314226868
momentum_20,2.6216938998550177,0.7890620468386924
stock_id,2.610580589622259,0.7857172279336713
price_vs_ma20,2.509776994585991,0.755377953378234
return_mean_5,2.4165686070919037,0.727324639822946
return_mean_10,2.194456495344639,0.6604746397017827
return_mean_20,1.870722807943821,0.5630391740186023
return_std_10,1.756091795861721,0.5285382046149298
return_mean_50,1.7240914944559336,0.5189069416638653
return_std_20,1.0138574913144112,0.3051448787913538
return_std_5,0.8323650993406773,0.25052036358598817
trend_10,0.6978573948144913,0.21003702391964663
return_std_50,0.6878162994980812,0.20701491396878355
trend_50,0.23944110237061977,0.07206557803881009
trend_20,0.18569530174136162,0.05588948232609093
